,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,fan_ppg
30,russeda01,D'Angelo Russell,POINT_GUARD,22,BROOKLYN_NETS,81,81,2448,659,1517,234,635,160,205,53,262,563,100,20,253,141,1712,36.0679012345679
31,mitchdo01,Donovan Mitchell,SHOOTING_GUARD,22,UTAH_JAZZ,77,77,2598,661,1530,188,519,319,396,59,257,322,106,31,218,208,1829,35.67792207792208
32,gasolma01,Marc Gasol,CENTER,34,MEMPHIS_GRIZZLIES,53,53,1788,303,683,76,221,152,201,56,399,248,60,63,119,147,834,35.45283018867924
33,nurkiju01,Jusuf Nurkić,CENTER,24,PORTLAND_TRAIL_BLAZERS,72,72,1974,420,826,3,29,282,365,243,505,233,71,103,168,250,1125,35.44583333333333
34,lavinza01,Zach LaVine,SHOOTING_GUARD,23,CHICAGO_BULLS,63,62,2171,530,1135,120,321,312,375,40,254,283,60,26,215,140,1492,35.33809523809524
35,paulch01,Chris Paul,POINT_GUARD,33,HOUSTON_ROCKETS,58,58,1857,302,720,127,355,175,203,36,229,473,114,18,152,146,906,35.26724137931034
36,oladivi01,Victor Oladipo,SHOOTING_GUARD,26,INDIANA_PACERS,36,36,1147,249,588,74,216,103,141,21,181,186,60,11,82,72,675,34.900000000000006
37,harrito02,Tobias Harris,POWER_FORWARD,26,LOS_ANGELES_CLIPPERS,55,55,1903,424,855,112,258,192,219,37,395,150,40,24,109,123,1152,34.80727272727273
38,foxde01,De'Aaron Fox,POINT_GUARD,21,SACRAMENTO_KINGS,81,81,2546,505,1102,86,232,303,417,43,261,590,133,45,227,204,1399,34.29382716049383
39,collijo01,John Collins,POWER_FORWARD,21,ATLANTA_HAWKS,61,59,1829,465,831,55,158,203,266,219,376,121,22,39,120,199,1188,34.18852459016394
40,youngtr01,Trae Young,POINT_GUARD,20,ATLANTA_HAWKS,81,81,2503,525,1256,156,482,343,414,64,237,653,72,15,308,140,1549,34.02098765432098
41,lowryky01,Kyle Lowry,POINT_GUARD,32,TORONTO_RAPTORS,65,65,2213,304,739,157,453,161,194,41,271,564,91,31,182,166,926,33.97538461538462
42,butleji01,Jimmy Butler,SMALL_FORWARD,29,PHILADELPHIA_76ERS,55,55,1824,344,747,50,148,264,304,105,185,220,99,29,81,93,1002,33.72727272727273
43,aytonde01,Deandre Ayton,CENTER,20,PHOENIX_SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209,1159,33.11690140845071
44,markkla01,Lauri Markkanen,POWER_FORWARD,21,CHICAGO_BULLS,52,51,1682,342,795,120,332,170,195,74,396,75,37,33,85,122,974,32.79807692307692
45,middlkh01,Khris Middleton,SMALL_FORWARD,27,MILWAUKEE_BUCKS,77,77,2393,506,1148,179,474,216,258,50,411,331,80,7,174,172,1407,31.905194805194803
46,gallida01,Danilo Gallinari,SMALL_FORWARD,30,LOS_ANGELES_CLIPPERS,68,68,2059,409,884,161,372,367,406,54,363,178,49,23,99,129,1346,31.741176470588236
47,jordade01,DeAndre Jordan,CENTER,30,DALLAS_MAVERICKS,50,50,1554,208,323,0,0,135,198,161,525,99,33,53,111,125,551,31.673999999999996
48,thompkl01,Klay Thompson,SHOOTING_GUARD,28,GOLDEN_STATE_WARRIORS,78,78,2652,655,1402,241,599,129,158,37,262,186,84,47,115,157,1680,31.6
49,bledser01,Eric Bledsoe,POINT_GUARD,29,MILWAUKEE_BUCKS,78,78,2272,470,971,124,377,177,236,82,280,430,116,29,165,156,1241,31.351282051282052
50,gordoaa01,Aaron Gordon,POWER_FORWARD,23,ORLANDO_MAGIC,78,78,2633,470,1046,121,347,185,253,129,445,289,57,56,162,172,1246,31.183333333333337
51,mccolcj01,CJ McCollum,SHOOTING_GUARD,27,PORTLAND_TRAIL_BLAZERS,70,70,2375,571,1243,167,445,159,192,62,220,207,55,28,106,172,1468,31.09857142857143
52,siakapa01,Pascal Siakam,POWER_FORWARD,24,TORONTO_RAPTORS,80,79,2548,519,945,79,214,237,302,124,425,248,73,52,154,241,1354,31.01
53,willilo02,Lou Williams,SHOOTING_GUARD,32,LOS_ANGELES_CLIPPERS,75,1,1993,484,1138,105,291,425,485,40,182,402,57,11,181,80,1498,30.965333333333334
